dataset,polluter,level,model,accuracy,f1_macro,auc_roc,score,grade,completeness,uniqueness,validity,consistency,outlier_ratio,class_balance,feature_correlation,label_consistency,feature_informativeness
TelcoCustomerChurn,uniqueness,0.1,RandomForest,0.7871,0.7051,0.8014,75.08,B,1.0,0.6666,1.0,1.0,1.0,0.5308,1.0,0.2387,1.0
TelcoCustomerChurn,uniqueness,0.1,SVC,0.7033,0.6807,0.7689,75.08,B,1.0,0.6666,1.0,1.0,1.0,0.5308,1.0,0.2387,1.0
TelcoCustomerChurn,uniqueness,0.1,XGBoost,0.7906,0.7183,0.8121,75.08,B,1.0,0.6666,1.0,1.0,1.0,0.5308,1.0,0.2387,1.0
TelcoCustomerChurn,uniqueness,0.25,LogisticRegression,0.8091,0.7406,0.8352,73.16,C,1.0,0.5,1.0,1.0,1.0,0.5307,1.0,0.2677,1.0
TelcoCustomerChurn,uniqueness,0.25,MLP,0.736,0.6549,0.7496,73.16,C,1.0,0.5,1.0,1.0,1.0,0.5307,1.0,0.2677,1.0
TelcoCustomerChurn,uniqueness,0.25,RandomForest,0.7757,0.6906,0.7928,73.16,C,1.0,0.5,1.0,1.0,1.0,0.5307,1.0,0.2677,1.0
TelcoCustomerChurn,uniqueness,0.25,SVC,0.7033,0.6807,0.825,73.16,C,1.0,0.5,1.0,1.0,1.0,0.5307,1.0,0.2677,1.0
TelcoCustomerChurn,uniqueness,0.25,XGBoost,0.7736,0.6954,0.8043,73.16,C,1.0,0.5,1.0,1.0,1.0,0.5307,1.0,0.2677,1.0
TelcoCustomerChurn,uniqueness,0.5,LogisticRegression,0.8105,0.7425,0.8346,71.37,C,1.0,0.3333,1.0,1.0,1.0,0.5307,1.0,0.3031,1.0
TelcoCustomerChurn,uniqueness,0.5,MLP,0.7232,0.6457,0.7413,71.37,C,1.0,0.3333,1.0,1.0,1.0,0.5307,1.0,0.3031,1.0
TelcoCustomerChurn,uniqueness,0.5,RandomForest,0.7771,0.6932,0.7891,71.37,C,1.0,0.3333,1.0,1.0,1.0,0.5307,1.0,0.3031,1.0
TelcoCustomerChurn,uniqueness,0.5,SVC,0.7033,0.6807,0.8188,71.37,C,1.0,0.3333,1.0,1.0,1.0,0.5307,1.0,0.3031,1.0
TelcoCustomerChurn,uniqueness,0.5,XGBoost,0.7779,0.7028,0.8089,71.37,C,1.0,0.3333,1.0,1.0,1.0,0.5307,1.0,0.3031,1.0
TelcoCustomerChurn,uniqueness,0.75,LogisticRegression,0.8084,0.7404,0.8355,69.53,C,1.0,0.25,1.0,1.0,1.0,0.5307,1.0,0.2738,1.0
TelcoCustomerChurn,uniqueness,0.75,MLP,0.7339,0.6555,0.734,69.53,C,1.0,0.25,1.0,1.0,1.0,0.5307,1.0,0.2738,1.0
TelcoCustomerChurn,uniqueness,0.75,RandomForest,0.775,0.6955,0.7909,69.53,C,1.0,0.25,1.0,1.0,1.0,0.5307,1.0,0.2738,1.0
TelcoCustomerChurn,uniqueness,0.75,SVC,0.7033,0.6807,0.828,69.53,C,1.0,0.25,1.0,1.0,1.0,0.5307,1.0,0.2738,1.0
TelcoCustomerChurn,uniqueness,0.75,XGBoost,0.7821,0.7068,0.8056,69.53,C,1.0,0.25,1.0,1.0,1.0,0.5307,1.0,0.2738,1.0
TelcoCustomerChurn,uniqueness,0.9,LogisticRegression,0.8098,0.7418,0.836,69.2,C,1.0,0.2,1.0,1.0,1.0,0.5307,1.0,0.2946,1.0
TelcoCustomerChurn,uniqueness,0.9,MLP,0.7594,0.6835,0.7714,69.2,C,1.0,0.2,1.0,1.0,1.0,0.5307,1.0,0.2946,1.0
TelcoCustomerChurn,uniqueness,0.9,RandomForest,0.7764,0.695,0.7951,69.2,C,1.0,0.2,1.0,1.0,1.0,0.5307,1.0,0.2946,1.0
TelcoCustomerChurn,uniqueness,0.9,SVC,0.7033,0.6807,0.8346,69.2,C,1.0,0.2,1.0,1.0,1.0,0.5307,1.0,0.2946,1.0
TelcoCustomerChurn,uniqueness,0.9,XGBoost,0.7913,0.7184,0.8108,69.2,C,1.0,0.2,1.0,1.0,1.0,0.5307,1.0,0.2946,1.0
TelcoCustomerChurn,uniqueness,0.95,LogisticRegression,0.8091,0.7411,0.8364,67.72,C,1.0,0.1667,1.0,1.0,1.0,0.5307,1.0,0.2458,1.0
TelcoCustomerChurn,uniqueness,0.95,MLP,0.7473,0.6715,0.7568,67.72,C,1.0,0.1667,1.0,1.0,1.0,0.5307,1.0,0.2458,1.0
TelcoCustomerChurn,uniqueness,0.95,RandomForest,0.7771,0.6926,0.7927,67.72,C,1.0,0.1667,1.0,1.0,1.0,0.5307,1.0,0.2458,1.0
TelcoCustomerChurn,uniqueness,0.95,SVC,0.7033,0.6807,0.8286,67.72,C,1.0,0.1667,1.0,1.0,1.0,0.5307,1.0,0.2458,1.0
TelcoCustomerChurn,uniqueness,0.95,XGBoost,0.7814,0.705,0.8133,67.72,C,1.0,0.1667,1.0,1.0,1.0,0.5307,1.0,0.2458,1.0
letter,class_balance,0.1,LogisticRegression,0.7678,0.7666,0.9773,92.2,A,1.0,0.9622,1.0,1.0,0.9549,0.9183,1.0,0.6903,1.0
letter,class_balance,0.1,MLP,0.938,0.9378,0.9989,92.2,A,1.0,0.9622,1.0,1.0,0.9549,0.9183,1.0,0.6903,1.0
letter,class_balance,0.1,RandomForest,0.9327,0.9324,0.9984,92.2,A,1.0,0.9622,1.0,1.0,0.9549,0.9183,1.0,0.6903,1.0
letter,class_balance,0.1,SVC,0.837,0.8368,0.992,92.2,A,1.0,0.9622,1.0,1.0,0.9549,0.9183,1.0,0.6903,1.0
letter,class_balance,0.1,XGBoost,0.932,0.9319,0.9987,92.2,A,1.0,0.9622,1.0,1.0,0.9549,0.9183,1.0,0.6903,1.0
letter,class_balance,0.25,LogisticRegression,0.7675,0.7653,0.9772,90.53,A,1.0,0.9613,1.0,1.0,0.9545,0.7549,1.0,0.6893,1.0
letter,class_balance,0.25,MLP,0.941,0.9405,0.9989,90.53,A,1.0,0.9613,1.0,1.0,0.9545,0.7549,1.0,0.6893,1.0
letter,class_balance,0.25,RandomForest,0.9303,0.93,0.9984,90.53,A,1.0,0.9613,1.0,1.0,0.9545,0.7549,1.0,0.6893,1.0
letter,class_balance,0.25,SVC,0.8407,0.8406,0.9922,90.53,A,1.0,0.9613,1.0,1.0,0.9545,0.7549,1.0,0.6893,1.0
letter,class_balance,0.25,XGBoost,0.9267,0.9264,0.9985,90.53,A,1.0,0.9613,1.0,1.0,0.9545,0.7549,1.0,0.6893,1.0
letter,class_balance,0.5,LogisticRegression,0.7602,0.7562,0.9771,88.2,B,1.0,0.9613,1.0,1.0,0.9537,0.5098,1.0,0.6959,1.0
letter,class_balance,0.5,MLP,0.9195,0.9191,0.9984,88.2,B,1.0,0.9613,1.0,1.0,0.9537,0.5098,1.0,0.6959,1.0
letter,class_balance,0.5,RandomForest,0.9247,0.9242,0.9978,88.2,B,1.0,0.9613,1.0,1.0,0.9537,0.5098,1.0,0.6959,1.0
letter,class_balance,0.5,SVC,0.8357,0.8358,0.9919,88.2,B,1.0,0.9613,1.0,1.0,0.9537,0.5098,1.0,0.6959,1.0
letter,class_balance,0.5,XGBoost,0.924,0.9233,0.9983,88.2,B,1.0,0.9613,1.0,1.0,0.9537,0.5098,1.0,0.6959,1.0
letter,class_balance,0.75,LogisticRegression,0.7462,0.738,0.9762,86.12,B,1.0,0.9589,1.0,1.0,0.9531,0.2647,1.0,0.7161,1.0
letter,class_balance,0.75,MLP,0.9243,0.9227,0.9981,86.12,B,1.0,0.9589,1.0,1.0,0.9531,0.2647,1.0,0.7161,1.0
letter,class_balance,0.75,RandomForest,0.9163,0.915,0.9962,86.12,B,1.0,0.9589,1.0,1.0,0.9531,0.2647,1.0,0.7161,1.0
letter,class_balance,0.75,SVC,0.8325,0.8317,0.9912,86.12,B,1.0,0.9589,1.0,1.0,0.9531,0.2647,1.0,0.7161,1.0
letter,class_balance,0.75,XGBoost,0.9165,0.915,0.9976,86.12,B,1.0,0.9589,1.0,1.0,0.9531,0.2647,1.0,0.7161,1.0
letter,class_balance,0.9,LogisticRegression,0.7285,0.7134,0.9747,84.74,B,1.0,0.9574,1.0,1.0,0.9529,0.1013,1.0,0.7299,1.0
letter,class_balance,0.9,MLP,0.9183,0.9157,0.9967,84.74,B,1.0,0.9574,1.0,1.0,0.9529,0.1013,1.0,0.7299,1.0
letter,class_balance,0.9,RandomForest,0.8992,0.8949,0.9932,84.74,B,1.0,0.9574,1.0,1.0,0.9529,0.1013,1.0,0.7299,1.0
letter,class_balance,0.9,SVC,0.825,0.8226,0.9894,84.74,B,1.0,0.9574,1.0,1.0,0.9529,0.1013,1.0,0.7299,1.0
letter,class_balance,0.9,XGBoost,0.904,0.9006,0.9964,84.74,B,1.0,0.9574,1.0,1.0,0.9529,0.1013,1.0,0.7299,1.0
letter,class_balance,0.95,LogisticRegression,0.72,0.7009,0.9742,84.71,B,1.0,0.9569,1.0,1.0,0.9529,0.0621,1.0,0.7488,1.0
letter,class_balance,0.95,MLP,0.9032,0.8998,0.9967,84.71,B,1.0,0.9569,1.0,1.0,0.9529,0.0621,1.0,0.7488,1.0
letter,class_balance,0.95,RandomForest,0.8968,0.8918,0.9923,84.71,B,1.0,0.9569,1.0,1.0,0.9529,0.0621,1.0,0.7488,1.0
letter,class_balance,0.95,SVC,0.8213,0.818,0.9891,84.71,B,1.0,0.9569,1.0,1.0,0.9529,0.0621,1.0,0.7488,1.0
letter,class_balance,0.95,XGBoost,0.899,0.894,0.9955,84.71,B,1.0,0.9569,1.0,1.0,0.9529,0.0621,1.0,0.7488,1.0
letter,completeness,0.1,LogisticRegression,0.646,0.6415,0.9521,82.24,B,0.9,0.996,1.0,1.0,0.89,0.9539,1.0,0.2656,1.0
letter,completeness,0.1,MLP,0.9275,0.9274,0.9982,82.24,B,0.9,0.996,1.0,1.0,0.89,0.9539,1.0,0.2656,1.0
letter,completeness,0.1,RandomForest,0.935,0.935,0.9987,82.24,B,0.9,0.996,1.0,1.0,0.89,0.9539,1.0,0.2656,1.0
letter,completeness,0.1,SVC,0.6883,0.6892,0.9609,82.24,B,0.9,0.996,1.0,1.0,0.89,0.9539,1.0,0.2656,1.0
letter,completeness,0.1,XGBoost,0.9455,0.9453,0.9992,82.24,B,0.9,0.996,1.0,1.0,0.89,0.9539,1.0,0.2656,1.0
letter,completeness,0.25,LogisticRegression,0.5343,0.5208,0.9299,75.94,B,0.75,0.9999,1.0,1.0,0.7939,0.9539,1.0,0.1215,1.0
letter,completeness,0.25,MLP,0.8702,0.8696,0.9958,75.94,B,0.75,0.9999,1.0,1.0,0.7939,0.9539,1.0,0.1215,1.0
letter,completeness,0.25,RandomForest,0.8975,0.8981,0.9961,75.94,B,0.75,0.9999,1.0,1.0,0.7939,0.9539,1.0,0.1215,1.0
letter,completeness,0.25,SVC,0.5543,0.5519,0.9326,75.94,B,0.75,0.9999,1.0,1.0,0.7939,0.9539,1.0,0.1215,1.0
letter,completeness,0.25,XGBoost,0.9243,0.9241,0.9987,75.94,B,0.75,0.9999,1.0,1.0,0.7939,0.9539,1.0,0.1215,1.0
letter,completeness,0.5,LogisticRegression,0.327,0.2927,0.9065,67.14,C,0.5,1.0,1.0,1.0,0.6336,0.9539,1.0,0.038,0.8674
letter,completeness,0.5,MLP,0.6827,0.6885,0.9726,67.14,C,0.5,1.0,1.0,1.0,0.6336,0.9539,1.0,0.038,0.8674
letter,completeness,0.5,RandomForest,0.8137,0.8153,0.9854,67.14,C,0.5,1.0,1.0,1.0,0.6336,0.9539,1.0,0.038,0.8674
letter,completeness,0.5,SVC,0.315,0.2827,0.9051,67.14,C,0.5,1.0,1.0,1.0,0.6336,0.9539,1.0,0.038,0.8674
letter,completeness,0.5,XGBoost,0.8625,0.8635,0.9957,67.14,C,0.5,1.0,1.0,1.0,0.6336,0.9539,1.0,0.038,0.8674
letter,completeness,0.75,LogisticRegression,0.202,0.1278,0.8846,56.86,D,0.25,0.9772,1.0,1.0,0.4728,0.9539,1.0,0.0217,0.4862
letter,completeness,0.75,MLP,0.2575,0.2164,0.8625,56.86,D,0.25,0.9772,1.0,1.0,0.4728,0.9539,1.0,0.0217,0.4862
letter,completeness,0.75,RandomForest,0.6693,0.6741,0.952,56.86,D,0.25,0.9772,1.0,1.0,0.4728,0.9539,1.0,0.0217,0.4862
letter,completeness,0.75,SVC,0.1465,0.0698,0.8727,56.86,D,0.25,0.9772,1.0,1.0,0.4728,0.9539,1.0,0.0217,0.4862
letter,completeness,0.75,XGBoost,0.7025,0.7057,0.977,56.86,D,0.25,0.9772,1.0,1.0,0.4728,0.9539,1.0,0.0217,0.4862
letter,completeness,0.9,LogisticRegression,0.1985,0.1472,0.8623,45.73,D,0.1,0.6126,1.0,1.0,0.3764,0.9539,1.0,0.0451,0.2221
letter,completeness,0.9,MLP,0.1113,0.0619,0.7286,45.73,D,0.1,0.6126,1.0,1.0,0.3764,0.9539,1.0,0.0451,0.2221
letter,completeness,0.9,RandomForest,0.45,0.4323,0.9064,45.73,D,0.1,0.6126,1.0,1.0,0.3764,0.9539,1.0,0.0451,0.2221
letter,completeness,0.9,SVC,0.0625,0.0137,0.8348,45.73,D,0.1,0.6126,1.0,1.0,0.3764,0.9539,1.0,0.0451,0.2221
letter,completeness,0.9,XGBoost,0.4338,0.4296,0.9225,45.73,D,0.1,0.6126,1.0,1.0,0.3764,0.9539,1.0,0.0451,0.2221
letter,completeness,0.95,LogisticRegression,0.088,0.0557,0.8147,40.01,D,0.05,0.3291,1.0,1.0,0.3445,0.9539,1.0,0.0565,0.168
letter,completeness,0.95,MLP,0.0498,0.0154,0.6447,40.01,D,0.05,0.3291,1.0,1.0,0.3445,0.9539,1.0,0.0565,0.168
letter,completeness,0.95,RandomForest,0.3688,0.3555,0.8799,40.01,D,0.05,0.3291,1.0,1.0,0.3445,0.9539,1.0,0.0565,0.168
letter,completeness,0.95,SVC,0.038,0.0044,0.7093,40.01,D,0.05,0.3291,1.0,1.0,0.3445,0.9539,1.0,0.0565,0.168
letter,completeness,0.95,XGBoost,0.4748,0.4668,0.9246,40.01,D,0.05,0.3291,1.0,1.0,0.3445,0.9539,1.0,0.0565,0.168
letter,feature_accuracy,0.1,LogisticRegression,0.758,0.7582,0.9763,90.89,A,1.0,1.0,1.0,1.0,0.9396,0.9539,1.0,0.5828,1.0
letter,feature_accuracy,0.1,MLP,0.938,0.9379,0.9993,90.89,A,1.0,1.0,1.0,1.0,0.9396,0.9539,1.0,0.5828,1.0
letter,feature_accuracy,0.1,RandomForest,0.9223,0.9226,0.9982,90.89,A,1.0,1.0,1.0,1.0,0.9396,0.9539,1.0,0.5828,1.0
letter,feature_accuracy,0.1,SVC,0.8223,0.823,0.9907,90.89,A,1.0,1.0,1.0,1.0,0.9396,0.9539,1.0,0.5828,1.0
letter,feature_accuracy,0.1,XGBoost,0.9325,0.9325,0.9989,90.89,A,1.0,1.0,1.0,1.0,0.9396,0.9539,1.0,0.5828,1.0
letter,feature_accuracy,0.25,LogisticRegression,0.715,0.7157,0.964,83.53,B,1.0,1.0,1.0,1.0,0.895,0.9539,1.0,0.3003,0.8514
letter,feature_accuracy,0.25,MLP,0.8265,0.8275,0.9932,83.53,B,1.0,1.0,1.0,1.0,0.895,0.9539,1.0,0.3003,0.8514
letter,feature_accuracy,0.25,RandomForest,0.8093,0.8127,0.9889,83.53,B,1.0,1.0,1.0,1.0,0.895,0.9539,1.0,0.3003,0.8514
letter,feature_accuracy,0.25,SVC,0.7545,0.758,0.9767,83.53,B,1.0,1.0,1.0,1.0,0.895,0.9539,1.0,0.3003,0.8514
letter,feature_accuracy,0.25,XGBoost,0.8177,0.8203,0.9932,83.53,B,1.0,1.0,1.0,1.0,0.895,0.9539,1.0,0.3003,0.8514
letter,feature_accuracy,0.5,LogisticRegression,0.649,0.6444,0.9411,74.48,C,1.0,1.0,1.0,1.0,0.7897,0.9539,1.0,0.1034,0.3924
letter,feature_accuracy,0.5,MLP,0.5082,0.5132,0.9343,74.48,C,1.0,1.0,1.0,1.0,0.7897,0.9539,1.0,0.1034,0.3924
letter,feature_accuracy,0.5,RandomForest,0.624,0.6296,0.9472,74.48,C,1.0,1.0,1.0,1.0,0.7897,0.9539,1.0,0.1034,0.3924
letter,feature_accuracy,0.5,SVC,0.6777,0.6809,0.9482,74.48,C,1.0,1.0,1.0,1.0,0.7897,0.9539,1.0,0.1034,0.3924
letter,feature_accuracy,0.5,XGBoost,0.599,0.604,0.9614,74.48,C,1.0,1.0,1.0,1.0,0.7897,0.9539,1.0,0.1034,0.3924
letter,feature_accuracy,0.75,LogisticRegression,0.6118,0.6039,0.9221,71.28,C,1.0,1.0,1.0,1.0,0.6812,0.9539,1.0,0.0415,0.2509
letter,feature_accuracy,0.75,MLP,0.2702,0.2771,0.8239,71.28,C,1.0,1.0,1.0,1.0,0.6812,0.9539,1.0,0.0415,0.2509
letter,feature_accuracy,0.75,RandomForest,0.4607,0.4619,0.8742,71.28,C,1.0,1.0,1.0,1.0,0.6812,0.9539,1.0,0.0415,0.2509
letter,feature_accuracy,0.75,SVC,0.6332,0.6349,0.9258,71.28,C,1.0,1.0,1.0,1.0,0.6812,0.9539,1.0,0.0415,0.2509
letter,feature_accuracy,0.75,XGBoost,0.4138,0.4223,0.9037,71.28,C,1.0,1.0,1.0,1.0,0.6812,0.9539,1.0,0.0415,0.2509
letter,feature_accuracy,0.9,LogisticRegression,0.594,0.5858,0.913,70.16,C,1.0,1.0,1.0,1.0,0.6231,0.9539,1.0,0.0286,0.1934
letter,feature_accuracy,0.9,MLP,0.1968,0.1995,0.7689,70.16,C,1.0,1.0,1.0,1.0,0.6231,0.9539,1.0,0.0286,0.1934
letter,feature_accuracy,0.9,RandomForest,0.3485,0.3507,0.8385,70.16,C,1.0,1.0,1.0,1.0,0.6231,0.9539,1.0,0.0286,0.1934
letter,feature_accuracy,0.9,SVC,0.6115,0.6122,0.9153,70.16,C,1.0,1.0,1.0,1.0,0.6231,0.9539,1.0,0.0286,0.1934
letter,feature_accuracy,0.9,XGBoost,0.3245,0.3282,0.8702,70.16,C,1.0,1.0,1.0,1.0,0.6231,0.9539,1.0,0.0286,0.1934
letter,feature_accuracy,0.95,LogisticRegression,0.585,0.5768,0.9104,69.91,C,1.0,1.0,1.0,1.0,0.6048,0.9539,1.0,0.0266,0.1818
letter,feature_accuracy,0.95,MLP,0.1787,0.1801,0.7534,69.91,C,1.0,1.0,1.0,1.0,0.6048,0.9539,1.0,0.0266,0.1818
letter,feature_accuracy,0.95,RandomForest,0.3478,0.3391,0.8353,69.91,C,1.0,1.0,1.0,1.0,0.6048,0.9539,1.0,0.0266,0.1818
letter,feature_accuracy,0.95,SVC,0.6078,0.6078,0.9123,69.91,C,1.0,1.0,1.0,1.0,0.6048,0.9539,1.0,0.0266,0.1818
letter,feature_accuracy,0.95,XGBoost,0.3105,0.3134,0.8558,69.91,C,1.0,1.0,1.0,1.0,0.6048,0.9539,1.0,0.0266,0.1818
letter,none,0.0,LogisticRegression,0.766,0.7644,0.9786,91.59,A,1.0,0.9401,1.0,1.0,0.9543,0.9539,1.0,0.6591,1.0
letter,none,0.0,MLP,0.957,0.957,0.9996,91.59,A,1.0,0.9401,1.0,1.0,0.9543,0.9539,1.0,0.6591,1.0
letter,none,0.0,RandomForest,0.9577,0.9577,0.9993,91.59,A,1.0,0.9401,1.0,1.0,0.9543,0.9539,1.0,0.6591,1.0
letter,none,0.0,SVC,0.8455,0.8447,0.9935,91.59,A,1.0,0.9401,1.0,1.0,0.9543,0.9539,1.0,0.6591,1.0
letter,none,0.0,XGBoost,0.9593,0.9592,0.9996,91.59,A,1.0,0.9401,1.0,1.0,0.9543,0.9539,1.0,0.6591,1.0
letter,uniqueness,0.1,LogisticRegression,0.768,0.7668,0.9787,85.9,B,1.0,0.6665,1.0,1.0,0.9544,0.7351,1.0,0.6888,1.0
letter,uniqueness,0.1,MLP,0.9555,0.9554,0.9995,85.9,B,1.0,0.6665,1.0,1.0,0.9544,0.7351,1.0,0.6888,1.0
letter,uniqueness,0.1,RandomForest,0.961,0.9609,0.9995,85.9,B,1.0,0.6665,1.0,1.0,0.9544,0.7351,1.0,0.6888,1.0
letter,uniqueness,0.1,SVC,0.8452,0.8445,0.9934,85.9,B,1.0,0.6665,1.0,1.0,0.9544,0.7351,1.0,0.6888,1.0
letter,uniqueness,0.1,XGBoost,0.9593,0.9592,0.9996,85.9,B,1.0,0.6665,1.0,1.0,0.9544,0.7351,1.0,0.6888,1.0
letter,uniqueness,0.25,LogisticRegression,0.7665,0.7654,0.9789,83.34,B,1.0,0.5,1.0,1.0,0.9543,0.7346,1.0,0.6861,1.0
letter,uniqueness,0.25,MLP,0.9593,0.9591,0.9996,83.34,B,1.0,0.5,1.0,1.0,0.9543,0.7346,1.0,0.6861,1.0
letter,uniqueness,0.25,RandomForest,0.9635,0.9633,0.9994,83.34,B,1.0,0.5,1.0,1.0,0.9543,0.7346,1.0,0.6861,1.0
letter,uniqueness,0.25,SVC,0.8482,0.8473,0.9933,83.34,B,1.0,0.5,1.0,1.0,0.9543,0.7346,1.0,0.6861,1.0
letter,uniqueness,0.25,XGBoost,0.9585,0.9585,0.9996,83.34,B,1.0,0.5,1.0,1.0,0.9543,0.7346,1.0,0.6861,1.0
letter,uniqueness,0.5,LogisticRegression,0.7665,0.7652,0.9788,80.89,B,1.0,0.3333,1.0,1.0,0.9543,0.7346,1.0,0.6886,1.0
letter,uniqueness,0.5,MLP,0.9557,0.9556,0.9993,80.89,B,1.0,0.3333,1.0,1.0,0.9543,0.7346,1.0,0.6886,1.0
letter,uniqueness,0.5,RandomForest,0.9635,0.9634,0.9996,80.89,B,1.0,0.3333,1.0,1.0,0.9543,0.7346,1.0,0.6886,1.0
letter,uniqueness,0.5,SVC,0.843,0.8422,0.9932,80.89,B,1.0,0.3333,1.0,1.0,0.9543,0.7346,1.0,0.6886,1.0
letter,uniqueness,0.5,XGBoost,0.9613,0.9612,0.9996,80.89,B,1.0,0.3333,1.0,1.0,0.9543,0.7346,1.0,0.6886,1.0
letter,uniqueness,0.75,LogisticRegression,0.7665,0.7651,0.9787,79.2,B,1.0,0.25,1.0,1.0,0.9541,0.7346,1.0,0.6669,1.0
letter,uniqueness,0.75,MLP,0.9627,0.9625,0.9994,79.2,B,1.0,0.25,1.0,1.0,0.9541,0.7346,1.0,0.6669,1.0
letter,uniqueness,0.75,RandomForest,0.9645,0.9644,0.9995,79.2,B,1.0,0.25,1.0,1.0,0.9541,0.7346,1.0,0.6669,1.0
letter,uniqueness,0.75,SVC,0.8465,0.8456,0.9932,79.2,B,1.0,0.25,1.0,1.0,0.9541,0.7346,1.0,0.6669,1.0
letter,uniqueness,0.75,XGBoost,0.963,0.9629,0.9996,79.2,B,1.0,0.25,1.0,1.0,0.9541,0.7346,1.0,0.6669,1.0
letter,uniqueness,0.9,LogisticRegression,0.7678,0.7664,0.9789,78.47,B,1.0,0.2,1.0,1.0,0.9545,0.7346,1.0,0.6677,1.0
letter,uniqueness,0.9,MLP,0.9633,0.9632,0.9995,78.47,B,1.0,0.2,1.0,1.0,0.9545,0.7346,1.0,0.6677,1.0
letter,uniqueness,0.9,RandomForest,0.9643,0.9642,0.9996,78.47,B,1.0,0.2,1.0,1.0,0.9545,0.7346,1.0,0.6677,1.0
letter,uniqueness,0.9,SVC,0.845,0.8439,0.9932,78.47,B,1.0,0.2,1.0,1.0,0.9545,0.7346,1.0,0.6677,1.0
letter,uniqueness,0.9,XGBoost,0.959,0.9589,0.9996,78.47,B,1.0,0.2,1.0,1.0,0.9545,0.7346,1.0,0.6677,1.0
letter,uniqueness,0.95,LogisticRegression,0.7642,0.7627,0.9788,78.07,B,1.0,0.1667,1.0,1.0,0.9546,0.7346,1.0,0.6727,1.0
letter,uniqueness,0.95,MLP,0.9663,0.9662,0.9997,78.07,B,1.0,0.1667,1.0,1.0,0.9546,0.7346,1.0,0.6727,1.0
letter,uniqueness,0.95,RandomForest,0.9653,0.9652,0.9995,78.07,B,1.0,0.1667,1.0,1.0,0.9546,0.7346,1.0,0.6727,1.0
letter,uniqueness,0.95,SVC,0.8445,0.8436,0.9931,78.07,B,1.0,0.1667,1.0,1.0,0.9546,0.7346,1.0,0.6727,1.0
letter,uniqueness,0.95,XGBoost,0.9615,0.9615,0.9996,78.07,B,1.0,0.1667,1.0,1.0,0.9546,0.7346,1.0,0.6727,1.0
